goos: darwin
goarch: arm64
pkg: pkg.gostartkit.com/web
cpu: Apple M2
BenchmarkTryInt-8                                         	172755301	         6.869 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryUint-8                                        	241055601	         4.913 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryUint-8                                        	240768049	         4.975 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryUint-8                                        	242227014	         4.952 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryUint-8                                        	242287394	         4.967 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryUint-8                                        	240706875	         4.992 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryInt64-8                                       	127219134	         9.462 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryInt64-8                                       	126316686	         9.411 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryInt64-8                                       	127517659	         9.700 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryInt64-8                                       	100000000	        10.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryInt64-8                                       	121530678	         9.433 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryUint64-8                                      	130579294	         9.102 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryUint64-8                                      	132090738	         9.080 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryUint64-8                                      	128155437	         9.081 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryUint64-8                                      	131973189	         9.100 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryUint64-8                                      	130812158	         9.089 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryBool-8                                        	540647188	         2.079 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryBool-8                                        	573526264	         2.101 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryBool-8                                        	575156246	         2.107 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryBool-8                                        	576969769	         2.084 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryBool-8                                        	569589272	         2.099 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseInt64-8                                  	100000000	        10.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseInt64-8                                  	100000000	        10.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseInt64-8                                  	100000000	        10.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseInt64-8                                  	100000000	        10.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseInt64-8                                  	100000000	        10.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseUint64-8                                 	120850155	        10.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseUint64-8                                 	100000000	        10.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseUint64-8                                 	120702715	         9.962 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseUint64-8                                 	100000000	        10.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseUint64-8                                 	121043769	        10.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseInt8-8                                   	169892840	         7.190 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseInt8-8                                   	172145824	         7.017 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseInt8-8                                   	168651266	         7.075 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseInt8-8                                   	169689585	         7.142 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseInt8-8                                   	170660133	         7.177 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseUint8-8                                  	241325985	         5.020 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseUint8-8                                  	243310584	         4.978 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseUint8-8                                  	240686618	         4.936 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseUint8-8                                  	243478969	         4.922 ns/op	       0 B/op	       0 allocs/op
